strategy,deviation_prob,mean_sharpe,std_sharpe,mean_unpredictability,std_unpredictability,mean_return,mean_win_rate,mean_profit_factor,mean_num_trades,mean_transaction_costs,sharpe_10th,sharpe_90th
Donchian_20,0.0,0.35442019756552684,1.6737241846796128e-16,0.0,0.0,0.6748025931091307,0.5588235294117647,1.7944212372625108,102.0,0.26850230242309564,0.354420197565527,0.354420197565527
Donchian_20,0.05,0.34365798033008516,0.08183710240789697,0.9361391504389451,0.037929944843421055,0.6643194355459291,0.561228892233415,1.8029437257569443,105.02,0.2742624785578308,0.24756346419748693,0.4461177562930204
Donchian_20,0.1,0.3248015857892267,0.10231352381493589,0.9657388414199072,0.0144178662545921,0.6378284285493927,0.5635236738289623,1.7963826988600442,108.56,0.28099632750273135,0.19131288804633934,0.47170591173588167
Donchian_20,0.15,0.34624000190136955,0.15772862389284154,0.9748785645445676,0.008061569592694945,0.6891181216831668,0.5636045654881001,1.845424585124458,111.19,0.2901271869303589,0.14270146916773185,0.551445024416737
Donchian_20,0.2,0.2560364029990843,0.1476682686706389,0.973858703447979,0.006562373382125901,0.5408923139430697,0.5599148524915898,1.722652610647915,115.1,0.2885994622943573,0.07161337901060504,0.47004719505390746
DMA_20_50,0.0,-0.6648064245483178,1.1158161231197418e-16,0.0,0.0,-0.1308666850967409,0.375,0.7603256119298922,24.0,0.045690822975158696,-0.6648064245483177,-0.6648064245483177
DMA_20_50,0.05,-0.6133192683888912,0.11978267977878215,0.3848630804754021,0.28555974086194785,-0.11167748151068137,0.38124176548089594,0.8164679953262671,23.71,0.0453251658468628,-0.7174614723002869,-0.47247646983176506
DMA_20_50,0.1,-0.552409477887635,0.18038347451096998,0.6600074590207732,0.20003151575736933,-0.08980161003082295,0.38936123658949745,0.8858112542842786,23.42,0.04508021004693604,-0.7220576956814918,-0.3243376139353764
DMA_20_50,0.15,-0.5028623173888157,0.191072859850002,0.7800598572725613,0.09400256921740074,-0.06922351405531332,0.40281841709015626,0.9569950267963363,23.11,0.04464366814161683,-0.6909420587588965,-0.26881676407926924
DMA_20_50,0.2,-0.4456400444095348,0.22589777047983403,0.8280419034816928,0.08108897537163383,-0.04104375139021322,0.40757928665537363,1.056547433835563,22.84,0.04453944703559876,-0.6814036421792935,-0.0857776885828725
Bollinger_20_2,0.0,-0.007060839805756459,8.717313461872983e-19,0.0,0.0,0.1982792532684325,0.5681818181818183,1.4801809372334254,88.0,0.15733449184875486,-0.007060839805756458,-0.007060839805756458
Bollinger_20_2,0.05,0.014787601421985897,0.059310258155001,0.876456846726981,0.05993114914142287,0.21954599530406196,0.5728061934350559,1.5094846479839306,88.57,0.15993662488868712,-0.04533701475177837,0.07962006619533858
Bollinger_20_2,0.1,0.023451264840824035,0.07417107219808981,0.9367775793162042,0.030892116504798665,0.22897977590780652,0.5774778882958127,1.5234856527705078,88.65,0.16143337457437135,-0.055038572929337455,0.10018685771783017
Bollinger_20_2,0.15,0.03625450046587983,0.09921338184686797,0.9511559248531364,0.02486694042457886,0.2415533198187411,0.5818397377645933,1.544498853459218,88.7,0.16254069249851993,-0.09658513484612252,0.14824417901933046
Bollinger_20_2,0.2,0.037350646952973555,0.10291728073275239,0.9651756862694669,0.013628987775538275,0.2419086387666171,0.5826323752609103,1.5514952055574085,89.06,0.16411009387266542,-0.08453401412954986,0.17285654676270354
RSI_14,0.0,0.4002551204610858,5.579080615598709e-17,0.0,0.0,0.6479897234985349,0.7096774193548385,2.3613303379241994,62.0,0.11958516053466794,0.40025512046108586,0.40025512046108586
RSI_14,0.05,0.38159086773453643,0.08065487963384721,0.9553137123552233,0.018582500609541103,0.6317965420858306,0.7004051170712182,2.3516152170808446,69.18,0.13711995502732852,0.30412998156291465,0.45652258017995617
RSI_14,0.1,0.3623451503909886,0.10075583889253152,0.9719126482529787,0.009227830930486215,0.6145029845740662,0.6946863914127213,2.311766841520415,76.2,0.15321979763223267,0.2286926919041981,0.4759989120568559
RSI_14,0.15,0.36527586667720696,0.11073923420250953,0.968179100961243,0.0072405304088492195,0.6252351164692689,0.6913922589352692,2.3698840463128015,82.23,0.16927635391354376,0.22252184187884774,0.4942351482061228
RSI_14,0.2,0.3126293266655089,0.1522755913664154,0.9602636136434858,0.0063738195269901375,0.5655421765488434,0.6816868860386599,2.2705747098272138,89.16,0.18336830190391543,0.13165066549801038,0.488689801745909
