date,reit_return,hpi_original,hpi_unsmoothed,dynamic_correlation
2014-02-28,0.025679526171418502,0.008995502248875686,0.04288211926959364,0.01255008909994431
2014-03-31,0.015144037633558247,0.01634472511144125,0.05299651672829945,0.014184095860246626
2014-04-30,0.06169769283974215,0.005847953216374213,0.012739334542913152,0.09300292876942348
2014-05-31,0.004893231767636859,0.015988372093023395,0.053117795735307914,0.1014782976758314
2014-06-30,0.0015445599248216726,0.010014306151645114,0.022845724348030148,0.10288518673093301
2014-07-31,0.00167796317887327,0.014164305949008638,0.040883927272916606,0.10288332063558712
2014-08-31,0.026395996308451273,0.009776536312849249,0.022985184235998796,0.10210584497346295
2014-09-30,-0.041019358774451155,0.013831258644536604,0.03931027712473329,0.11297855113124466
2014-10-31,0.013468544266311786,0.005457025920873049,0.010847104699068955,0.08818758371398575
2014-11-30,0.03573357380772329,0.009497964721845387,0.03294984719940686,0.08976031508914369
2014-12-31,0.017947509404613485,0.012096774193548265,0.035211195897314196,0.10423527159472212
2015-01-31,0.052422286321544706,0.015936254980079667,0.041733535463664054,0.11258510698039698
2015-02-28,-0.010390372718171162,0.01699346405228752,0.03861049803585456,0.14168373746085602
2015-03-31,-0.01972998378074432,0.01670951156812328,0.03531252967922621,0.13207994203583412
2015-04-30,0.04670898737150352,0.013906447534766109,0.027206722066388928,0.11785000645828392
2015-05-31,-0.021441276476571226,0.012468827930174564,0.026656392540223322,0.13528264934195694
2015-06-30,0.001252873881592505,0.017241379310344973,0.04167809103862873,0.12426551368893406
2015-07-31,-0.011251416170798874,0.006053268765133346,0.004543341082049215,0.12100260852075626
2015-08-31,-0.059888528413516454,0.001203369434416235,0.0063613763421799694,0.12024656807876584
2015-09-30,0.004043859224233832,0.015624999999999778,0.053900797771727994,0.11605897126273453
2015-10-31,0.021800174619498507,0.00591715976331364,0.008550445412386873,0.11590861657628436
2015-11-30,0.049803559530731914,0.020000000000000018,0.05921833355848742,0.11704657127598783
2015-12-31,-0.01201202386983766,0.0,-0.014314790503668198,0.13267642123222914
2016-01-31,0.017950495560363707,0.01730103806228378,0.05920847608616506,0.13336114716019593
2016-02-29,0.025610433604656348,0.007936507936507908,0.011469600038151015,0.13776721834268357
2016-03-31,0.050231220404661124,0.008998875140607376,0.025885072861274148,0.13902839673253053
2016-04-30,0.10471586301273805,0.010033444816053505,0.02790243660789787,0.1453448610826984
2016-05-31,-0.030645987179972058,0.014348785871964642,0.03830481509687987,0.15555134946369256
2016-06-30,-0.01533638462123588,0.008705114254624613,0.016730193944224245,0.14909967926846607
2016-07-31,-0.025579771249803377,0.003236245954692629,0.009042369644661393,0.1475008344473599
2016-08-31,0.008881213229247191,0.012903225806451424,0.043608025166738576,0.1460078357010298
2016-09-30,0.023478729320896584,0.00849256900212314,0.019029318924260685,0.14685190768236975
2016-10-31,0.035982941277196305,0.0031578947368420263,0.009789034052250125,0.14921989291320037
2016-11-30,-0.044829265191016175,0.009443861490031402,0.03474938708688866,0.15105000183054712
2016-12-31,0.06515083883217684,0.008316008316008316,0.023775350199776116,0.13915683672095777
2017-01-31,0.027109435017885004,0.013402061855670278,0.038775051625361365,0.14774547320478976
2017-02-28,0.11298528205670408,0.01322482197355046,0.031099563815151575,0.1534413165447658
2017-03-31,0.009998512155032354,0.011044176706827225,0.024535588502248507,0.17073988028891438
2017-04-30,0.030477071100883685,0.010923535253227312,0.026805072931943907,0.1713160184580026
2017-05-31,0.06487406909334868,0.005893909626719207,0.013266236690407069,0.1761953224648307
2017-06-30,0.0645068045612028,0.0087890625,0.028226355464697723,0.1815780374483558
